Feature,Coefficient
cat__Store_Dept_10_91,-20500.172820647702
cat__Store_Dept_10_92,-23215.556236494027
cat__Store_Dept_10_93,-24258.525946932754
cat__Store_Dept_10_94,-29262.43233631746
cat__Store_Dept_10_95,4976.888753860684
cat__Store_Dept_10_96,-1000.8192530916161
cat__Store_Dept_10_97,-8542.564428714397
cat__Store_Dept_10_98,-6185.710578303191
cat__Store_Dept_11_1,-250.51215805144946
cat__Store_Dept_11_10,5216.97435258218
cat__Store_Dept_11_11,3687.4865139948984
cat__Store_Dept_11_12,-50.864470226578796
cat__Store_Dept_11_13,10917.694903106927
cat__Store_Dept_11_14,9862.16143737739
cat__Store_Dept_11_16,1056.6863648909043
cat__Store_Dept_11_17,3204.653743289941
cat__Store_Dept_11_18,4903.7228811829
cat__Store_Dept_11_19,-230.85173204324974
cat__Store_Dept_11_2,14299.807131780157
cat__Store_Dept_11_20,4336.926856048265
cat__Store_Dept_11_21,2424.9104571278217
cat__Store_Dept_11_22,6309.681605320801
cat__Store_Dept_11_23,13202.213283809759
cat__Store_Dept_11_24,2987.722259635071
cat__Store_Dept_11_25,2494.612975731602
cat__Store_Dept_11_26,4467.266211452187
cat__Store_Dept_11_27,507.2601738927846
cat__Store_Dept_11_28,12.842357373086786
cat__Store_Dept_11_29,3795.7867776412504
cat__Store_Dept_11_3,5987.6195904095775
cat__Store_Dept_11_30,2469.525210245521
cat__Store_Dept_11_31,560.4783813915867
cat__Store_Dept_11_32,4280.3465268373
cat__Store_Dept_11_33,2856.372743749886
cat__Store_Dept_11_34,9005.81258638941
cat__Store_Dept_11_35,1204.2092096308666
cat__Store_Dept_11_36,844.9495309630087
cat__Store_Dept_11_37,637.2023720881998
cat__Store_Dept_11_38,13851.375434563877
cat__Store_Dept_11_4,3171.4915561865682
cat__Store_Dept_11_40,9450.7754323757
cat__Store_Dept_11_41,-726.9967647815146
cat__Store_Dept_11_42,817.9121792857878
cat__Store_Dept_11_44,1157.9583500389604
cat__Store_Dept_11_45,-342.713165586167
cat__Store_Dept_11_46,7721.750818990598
cat__Store_Dept_11_47,-383.24494880803536
cat__Store_Dept_11_48,-1253.8069169517637
cat__Store_Dept_11_49,2132.551374117256
cat__Store_Dept_11_5,15597.523346583415
cat__Store_Dept_11_50,-2886.764089320815
cat__Store_Dept_11_51,-322.45879718773296
cat__Store_Dept_11_52,395.08365983932293
cat__Store_Dept_11_54,-203.698390399998
cat__Store_Dept_11_55,3171.787592641583
cat__Store_Dept_11_56,-327.51087377905685
cat__Store_Dept_11_58,-308.61846250807133
cat__Store_Dept_11_59,151.89276232092135
cat__Store_Dept_11_6,1431.3072263315173
cat__Store_Dept_11_60,-471.5916219681749
cat__Store_Dept_11_67,2575.8075362721247
cat__Store_Dept_11_7,10788.198350731467
cat__Store_Dept_11_71,4545.724562107464
cat__Store_Dept_11_72,24906.720877422973
cat__Store_Dept_11_74,9632.46824985526
cat__Store_Dept_11_77,-340.95604652407474
cat__Store_Dept_11_78,-381.77065674309074
cat__Store_Dept_11_79,9540.463523675999
cat__Store_Dept_11_8,4615.276361976772
cat__Store_Dept_11_80,2207.747492967494
cat__Store_Dept_11_81,-2463.9730750895983
cat__Store_Dept_11_82,7647.555856643503
cat__Store_Dept_11_83,-172.33883575447786
cat__Store_Dept_11_85,-518.8763050442267
cat__Store_Dept_11_87,1475.171431778266
cat__Store_Dept_11_9,-479.90386567274373
cat__Store_Dept_11_90,4584.21881405521
cat__Store_Dept_11_91,8823.27888550974
cat__Store_Dept_11_92,3636.465142812622
cat__Store_Dept_11_93,6908.910882788116
cat__Store_Dept_11_94,8207.14931609586
cat__Store_Dept_11_95,8977.681712760263
cat__Store_Dept_11_96,9821.870039844283
cat__Store_Dept_11_97,2685.600714149195
cat__Store_Dept_11_98,3310.4817753466928
cat__Store_Dept_11_99,-149.3855219814
cat__Store_Dept_12_1,-1706.3047838828936
cat__Store_Dept_12_10,-154.68136168196398
cat__Store_Dept_12_11,3369.398833513276
cat__Store_Dept_12_12,538.8993586034904
cat__Store_Dept_12_13,16781.576784196837
cat__Store_Dept_12_14,4951.077188725677
cat__Store_Dept_12_16,-7005.251840996538
cat__Store_Dept_12_17,1461.9988043883338
cat__Store_Dept_12_18,2822.9199925156067
cat__Store_Dept_12_19,1372.459005796581
cat__Store_Dept_12_2,31504.312426614317
cat__Store_Dept_12_20,1233.217172486162
cat__Store_Dept_12_21,-950.0870780626547
cat__Store_Dept_12_22,920.6433535675375
cat__Store_Dept_12_23,17769.153305024247
cat__Store_Dept_12_24,5612.632457691424
cat__Store_Dept_12_25,11252.411052164047
cat__Store_Dept_12_26,6767.2981290233265
cat__Store_Dept_12_27,327.9232374308171
cat__Store_Dept_12_28,-10.852779597965302
cat__Store_Dept_12_29,1490.549669204189
cat__Store_Dept_12_3,5811.959917220081
cat__Store_Dept_12_30,1612.4831637926577
cat__Store_Dept_12_31,1120.0075105580358
cat__Store_Dept_12_32,2998.155053430236
cat__Store_Dept_12_33,5422.895989196139
cat__Store_Dept_12_34,9865.179598342615
cat__Store_Dept_12_35,-71.30625649026855
cat__Store_Dept_12_36,281.861953468573
cat__Store_Dept_12_38,-8608.775744222192
cat__Store_Dept_12_4,1007.1870460022066
cat__Store_Dept_12_40,4173.597673072925
cat__Store_Dept_12_41,-1270.4026911665512
cat__Store_Dept_12_42,621.537446451658
cat__Store_Dept_12_44,2529.4368097792044
cat__Store_Dept_12_45,-352.1589960468643
cat__Store_Dept_12_46,12915.569746578118
cat__Store_Dept_12_47,-419.7616011159158
cat__Store_Dept_12_49,-6007.300978894395
cat__Store_Dept_12_5,6967.721706137494
cat__Store_Dept_12_51,-337.28318090390223
cat__Store_Dept_12_52,1716.939250608305
cat__Store_Dept_12_54,-320.9252472013259
cat__Store_Dept_12_55,4825.723693978234
cat__Store_Dept_12_56,-2739.9448399472676
cat__Store_Dept_12_58,-1169.0103515310639
cat__Store_Dept_12_59,361.8196580934942
cat__Store_Dept_12_6,2252.637974551222
cat__Store_Dept_12_60,-171.78786653079152
cat__Store_Dept_12_67,-1369.8412142970851
cat__Store_Dept_12_7,10358.030251633409
cat__Store_Dept_12_71,2576.143894066617
cat__Store_Dept_12_72,14095.546708165346
cat__Store_Dept_12_74,4084.4087875155046
cat__Store_Dept_12_77,-515.0887841789975
cat__Store_Dept_12_78,-412.2229992425113
cat__Store_Dept_12_79,21531.811647595434
cat__Store_Dept_12_8,12519.579432864499
cat__Store_Dept_12_80,-11162.70648263611
cat__Store_Dept_12_81,-8095.988184610776
cat__Store_Dept_12_82,-182.30335522137608
cat__Store_Dept_12_83,-3297.4716538080534
cat__Store_Dept_12_85,-136.44359137602027
cat__Store_Dept_12_87,-1842.2433739020362
cat__Store_Dept_12_9,65.14591435817536
cat__Store_Dept_12_90,-33405.5745724265
cat__Store_Dept_12_91,-26452.675242898982
cat__Store_Dept_12_92,-48898.135228406485
cat__Store_Dept_12_93,-25136.021349040926
cat__Store_Dept_12_94,-28916.677010865784
cat__Store_Dept_12_95,-25091.04835739124
cat__Store_Dept_12_96,-12076.890852649227
cat__Store_Dept_12_97,-11496.092170596108
cat__Store_Dept_12_98,-5534.5975815262855
cat__Store_Dept_13_1,27990.255922063498
cat__Store_Dept_13_10,11041.069819880391
cat__Store_Dept_13_11,6701.824692613083
cat__Store_Dept_13_12,3539.4127073189848
cat__Store_Dept_13_13,17234.241944884354
cat__Store_Dept_13_14,11529.784442540282
cat__Store_Dept_13_16,8308.264797494894
cat__Store_Dept_13_17,7505.6146594105585
cat__Store_Dept_13_18,10071.349378727391
cat__Store_Dept_13_19,2419.51607443913
cat__Store_Dept_13_2,33268.3842777784
cat__Store_Dept_13_20,3467.1155364002834
cat__Store_Dept_13_21,3968.7694753677392
cat__Store_Dept_13_22,7228.069348353553
cat__Store_Dept_13_23,8885.111016739771
cat__Store_Dept_13_24,4688.711004915698
cat__Store_Dept_13_25,6150.532002693854
cat__Store_Dept_13_26,5980.004825358164
cat__Store_Dept_13_27,957.0720722070798
cat__Store_Dept_13_28,505.13630205060275
cat__Store_Dept_13_29,627.5307273394891
cat__Store_Dept_13_3,13825.798589132122
cat__Store_Dept_13_30,136.64814571737344
cat__Store_Dept_13_31,1523.3054321828906
cat__Store_Dept_13_32,3678.7543888019845
cat__Store_Dept_13_33,5246.143425925033
cat__Store_Dept_13_34,5529.751014975709
cat__Store_Dept_13_35,631.4021400474713
cat__Store_Dept_13_36,270.7204598277048
cat__Store_Dept_13_37,216.95739493096124
cat__Store_Dept_13_38,22969.460274569414
cat__Store_Dept_13_4,16708.666774567864
cat__Store_Dept_13_40,33396.222898821965
cat__Store_Dept_13_41,682.5738106050125
cat__Store_Dept_13_42,2673.5190933105623
cat__Store_Dept_13_43,-1998.412716112211
cat__Store_Dept_13_44,6089.447065403759
cat__Store_Dept_13_45,-362.81145548470084
cat__Store_Dept_13_46,21677.70071662819
cat__Store_Dept_13_47,-175.35439014913834
cat__Store_Dept_13_48,132.62774672073115
cat__Store_Dept_13_49,3346.0008465760952
cat__Store_Dept_13_5,36145.3621420512
