feature,coefficient,importance,relative_importance
Store_19 Dept_74,-1229.7881554220185,1229.7881554220185,5.4294579487723444e-05
Store_15 Dept_10,-1228.9560048714625,1228.9560048714625,5.42578404249721e-05
Store_32 Dept_28,-1226.9448515550578,1226.9448515550578,5.416904893424412e-05
Store_34 Dept_44,1219.273441541518,1219.273441541518,5.383035972267001e-05
Store_34 Dept_41,1215.7095721280114,1215.7095721280114,5.367301653286746e-05
Store_29 Dept_45,1215.6955844673048,1215.6955844673048,5.3672398984102874e-05
Store_12 Dept_21,-1213.3477319810534,1213.3477319810534,5.35687423804202e-05
Store_28 Dept_34,1212.2183211014062,1212.2183211014062,5.351887941133163e-05
Store_6 Dept_51,-1211.7371673142904,1211.7371673142904,5.3497636693693474e-05
Store_6 Dept_47,-1211.5142125671211,1211.5142125671211,5.348779334450445e-05
Store_20 Dept_23,-1205.0888698854064,1205.0888698854064,5.320411743054307e-05
Store_14 Dept_17,-1204.1157495867312,1204.1157495867312,5.316115461847288e-05
Store_40 Dept_82,-1202.4076217020395,1202.4076217020395,5.308574156070215e-05
Store_8 Dept_5,-1196.863566664369,1196.863566664369,5.284097408949178e-05
Store_23 Dept_8,1196.0135256133558,1196.0135256133558,5.28034451694021e-05
Store_32 Dept_85,-1195.6260728234597,1195.6260728234597,5.2786339307546136e-05
Store_8 Dept_83,1194.114916056723,1194.114916056723,5.2719622433726645e-05
Store_8 Dept_24,1192.8038577222749,1192.8038577222749,5.266173981334289e-05
Store_38 Dept_24,1190.3073131242509,1190.3073131242509,5.255151852155012e-05
Store_11 Dept_33,-1190.027850365597,1190.027850365597,5.2539180369733736e-05
Store_34 Dept_46,-1186.4124761198807,1186.4124761198807,5.237956326535972e-05
Store_11 Dept_96,1185.5645321831785,1185.5645321831785,5.2342126931899014e-05
Store_22 Dept_20,1183.0714839725285,1183.0714839725285,5.223206000399515e-05
Store_7 Dept_47,1181.1051914958591,1181.1051914958591,5.214524909863723e-05
Store_8 Dept_81,-1179.8226512700305,1179.8226512700305,5.2088625539587285e-05
Store_21 Dept_55,1178.4026528182105,1178.4026528182105,5.202593326329981e-05
Store_26 Dept_44,1164.252775447514,1164.252775447514,5.140122270786177e-05
Store_30 Dept_90,1160.324133977699,1160.324133977699,5.122777500012348e-05
Store_31 Dept_49,-1159.9554634031515,1159.9554634031515,5.121149836440675e-05
Store_15 Dept_47,1157.6359061474375,1157.6359061474375,5.1109090982093436e-05
Store_23 Dept_21,-1150.2795196503048,1150.2795196503048,5.0784309913378455e-05
Store_22 Dept_52,-1150.2088748135684,1150.2088748135684,5.078119097644068e-05
Store_8 Dept_31,1149.9756765348095,1149.9756765348095,5.077089538005959e-05
Store_32 Dept_1,1148.9871165454242,1148.9871165454242,5.072725091277031e-05
Store_8 Dept_17,-1145.6894451837975,1145.6894451837975,5.058166024410202e-05
Store_41 Dept_55,-1143.7220417453636,1143.7220417453636,5.0494800290294925e-05
Store_15 Dept_98,-1143.0079881388965,1143.0079881388965,5.0463275153120775e-05
Store_10 Dept_71,-1141.5012472752776,1141.5012472752776,5.039675323938589e-05
Store_9 Dept_97,-1140.431550069517,1140.431550069517,5.0349526601440244e-05
Store_26 Dept_21,1139.2054657302872,1139.2054657302872,5.029539554372802e-05
Store_43 Dept_56,1138.6075027757556,1138.6075027757556,5.026899575525844e-05
Store_36 Dept_6,1137.949273719874,1137.949273719874,5.0239935246228394e-05
Store_31 Dept_98,-1137.1074758278194,1137.1074758278194,5.0202770257802336e-05
Store_22 Dept_49,-1135.790873751426,1135.790873751426,5.014464288377025e-05
Dept_77,-1134.0355970092432,1134.0355970092432,5.006714822570153e-05
