Store,Dept,Mean_Error,Std_Error,Sample_Count
2,55,4474.899288787363,843.8307324046484,8
2,56,749.8321629254568,554.90839566534,8
2,58,5616.108386913172,6229.599536523512,8
2,59,1461.7159162777962,283.9942603451781,8
2,60,66.84515089039456,39.87083131394342,8
2,67,797.8618488128782,669.3398361550194,8
2,71,812.8019911802123,652.0043905357028,8
2,72,13010.8274420803,10436.142821918189,8
2,74,1123.445838227811,708.0110984183117,8
2,79,3879.4419193094163,4333.264584031324,8
2,80,773.8829422857702,623.7110412264282,8
2,81,873.7943772270569,505.0056264310967,8
2,82,6361.584116542189,1443.6433971948343,8
2,83,614.0611966439352,281.7608540023397,8
2,85,592.7178474286893,400.39635355187664,8
2,87,5293.398433298806,5759.42496548564,8
2,90,3067.7729386951887,2161.3473834115534,8
2,91,3537.329880338557,2002.5713515837308,8
2,92,9391.49328484077,6503.340511804199,8
2,93,5837.459859309885,2561.821158102076,8
2,94,3151.7742998138456,1795.6138651551075,8
2,95,4334.23181239342,4128.807102029379,8
2,96,1637.497365597239,1156.6680029772776,8
2,97,2075.0969208102233,1436.931747131109,8
2,98,859.765679643634,556.7250215385444,8
2,99,648.9426820294582,262.5399726512951,4
3,1,1218.2801309350843,1049.2519369879028,8
3,2,842.331834675339,349.2930930408295,8
3,3,2411.221332654038,816.7481027658838,8
3,4,593.5192556022529,479.631924640885,8
3,5,1662.5941505515784,1292.976837767351,8
3,6,604.609700048097,393.2124695566685,8
3,7,4062.3033373568314,1863.4705592517682,8
3,8,254.3834427725833,241.7155078119075,8
3,9,3143.987483778293,2802.7134604405996,8
3,10,636.467103705631,439.239481012518,8
3,11,4555.998240231916,2026.7157508061155,8
3,12,93.34250000000003,81.36614648785178,8
3,13,925.7377725227452,899.5054273495185,8
3,14,670.6847842295142,514.5096185677241,8
3,16,2438.64903109459,615.9441748366118,8
3,17,316.7281706654218,312.3366573808113,8
3,18,2045.282833296637,1288.5760786957323,8
3,19,94.14598608785961,79.61019163311008,8
3,20,231.61422740900008,152.86039553572448,8
3,21,206.48401545195517,78.07857046227757,8
3,22,526.5140161787893,267.5538812474789,8
3,23,2549.1251698222172,780.4198568508609,8
3,24,1203.3875145445866,443.7466489688027,8
3,25,621.9719397596591,577.3648852136159,8
3,26,466.45568806567934,355.6617058668887,8
3,27,97.67170727997538,49.03521292232509,8
3,28,34.894280002126095,25.07200761413858,8
3,29,385.0801203668326,212.19360079810858,8
3,30,166.73581652268035,134.4538198362637,8
3,31,342.6649315442439,120.044115194705,8
3,32,1165.7508724950824,785.5408436082357,8
3,33,789.8505564640027,385.01175539826653,8
3,34,1091.7772099991525,445.97704931111764,8
3,35,733.6114391589467,223.52854082608064,8
3,36,305.0737447227082,187.7357892551265,8
3,38,7902.553002264465,5009.217526090844,8
3,40,1216.697946765083,644.1056373672374,8
3,41,92.88341733645098,91.12697810869787,8
3,42,787.4153926679624,624.6413183893749,8
3,44,172.12256121086625,136.1680040148926,8
3,46,1848.9845858816097,369.8297604354108,8
3,49,5.284036026566656,3.243242933506097,8
3,52,118.81516154672619,96.95860439487213,8
3,54,24.097691017292075,29.835831151603628,8
3,55,2098.691983841735,1273.6244907176933,8
3,56,211.23721129291508,227.9120570596659,8
3,59,239.59277324869583,33.16994174939649,6
3,60,28.29490820449675,23.08981809843351,8
3,67,414.0023845183159,272.7599112599303,8
3,71,336.40039790286454,273.3468986672099,8
3,72,3148.8294856159514,2890.328006686351,8
3,74,278.22385064451925,185.74911109346124,8
3,79,471.39835711238607,296.20459522780277,8
3,80,48.43796986793123,,1
3,81,152.53417062290185,99.02116199878058,8
3,82,695.7534086624047,658.8937373960024,8
3,85,248.96834003985342,91.81128034619486,8
3,87,620.4861109412287,316.34758275484796,8
3,90,169.51750795974667,61.044558037469834,8
3,91,51.89631928052549,42.358938722027446,8
3,92,449.54749759886363,407.68369561413755,8
3,94,189.7753758850477,73.45721654248955,7
3,95,1426.4698510498388,704.3521841774885,8
3,96,591.1870507382423,266.00275536702213,8
3,97,60.68704892860088,38.85768920120182,8
4,1,5431.824228889068,5581.541033918885,8
4,2,8622.494283226242,3825.6990146902067,8
4,3,13133.510332630449,2824.4716199456957,8
4,4,3305.4618562605347,1966.6444886597108,8
4,5,11002.871422204873,4255.408391322527,8
4,6,2764.74460634814,1063.3866282987274,8
4,7,28047.682576318963,3485.6460328292355,8
4,8,1478.653231086486,772.3740850517579,8
4,9,7328.7276045037415,4888.109541808496,8
4,10,5882.312509525505,2110.39089533766,8
4,11,9417.175806450212,4368.187582974917,8
4,12,653.925216276644,321.8433879905476,8
4,13,3125.5780957299903,3470.1240689487013,8
4,14,8000.907398304255,1956.111299694636,8
4,16,9156.722878734536,3223.091913327994,8
4,17,524.7474175330319,476.83536855366896,8
4,18,9981.510973868866,6652.828921643222,8
4,19,177.83459314483173,189.36572556158544,8
4,20,1236.0296408922527,767.8505749697189,8
4,21,540.4815255048134,374.3537973561319,8
4,22,2194.0573158832517,1252.9743330977633,8
4,23,16133.556639997856,5277.28999611543,8
4,24,4097.076493495393,1742.742362564417,8
4,25,2590.9796996980813,1047.1503125817917,8
4,26,3339.72961792773,1823.917583643624,8
4,27,611.1111356332016,328.8465572323221,8
4,28,201.3601238073237,190.1174506030298,8
4,29,2735.106242214086,684.8904426281559,8
4,30,1932.8884302069846,565.139713327409,8
4,31,2545.4456539452594,519.4958561376302,8
4,32,5683.837120494885,1389.9219950298764,8
4,33,4288.3065343432245,2108.8745990324915,8
4,34,4199.170899241448,2416.714119902966,8
4,35,1055.2356543948501,636.022037284411,8
4,36,1908.0722756379114,1056.2827520862147,8
4,37,765.1380260898115,957.2770794066086,8
4,38,5987.099992882862,3834.1200369788708,8
4,40,2850.4868631176723,2578.422594552739,8
4,41,770.5392228099272,715.0849124259498,8
